EventId,EventTimestamp,EventType,CustomerId,AccountNumber,AccountType,TransactionId,Amount,Currency,MerchantName,MerchantCategory,City,State,Country,Channel,DeviceId,Status
EVT-001,2025-11-13T14:23:45Z,LARGE_DEPOSIT,C123456,CHK-123456,Checking,TXN-001,6250000.00,INR,Mobile Deposit,Deposit,Mumbai,MH,India,MobileApp,DEV-1001,APPROVED
EVT-002,2025-11-13T10:15:30Z,PURCHASE,C789012,CC-789012,CreditCard,TXN-002,458.00,INR,Mumbai Coffee,Coffee/Food,Mumbai,MH,India,PointOfSale,POS-2001,APPROVED
EVT-003,2025-11-13T10:47:18Z,PURCHASE,C789012,CC-789012,CreditCard,TXN-003,154166.00,INR,ElectroMart,Electronics,Mumbai,MH,India,PointOfSale,POS-2002,PENDING
EVT-004,2025-11-13T11:32:45Z,PURCHASE,C789012,CC-789012,CreditCard,TXN-004,70833.00,INR,Tokyo Electronics,Electronics,Tokyo,,Japan,PointOfSale,POS-2003,BLOCKED
EVT-005,2025-11-13T15:30:12Z,CUSTOMER_SERVICE_CALL,C456789,CHK-456789,Checking,CALL-001,0.00,INR,,,,,India,CallCenter,PHONE-3001,ACTIVE
EVT-006,2025-11-13T09:45:22Z,ATM_WITHDRAWAL,C234567,CHK-234567,Checking,TXN-006,16666.00,INR,Bank ATM,ATM,Mumbai,MH,India,ATM,ATM-4001,APPROVED
EVT-007,2025-11-13T12:15:33Z,TRANSFER,C456789,CHK-456789,Checking,TXN-007,416666.00,INR,Internal Transfer,Transfer,Bangalore,KA,India,OnlineBanking,DEV-1002,APPROVED
EVT-008,2025-11-13T16:22:11Z,PURCHASE,C123456,CC-123456,CreditCard,TXN-008,20479.00,INR,Fresh Market,Groceries,Mumbai,MH,India,PointOfSale,POS-2004,APPROVED
EVT-009,2025-11-13T08:30:45Z,LOGIN,C345678,CHK-345678,Checking,LOGIN-001,0.00,INR,,,,Pune,MH,India,MobileApp,DEV-1003,APPROVED
EVT-010,2025-11-13T13:55:20Z,PAYMENT,C567890,CC-567890,CreditCard,TXN-010,37500.00,INR,Credit Card Payment,Payment,Mumbai,MH,India,OnlineBanking,DEV-1004,APPROVED
EVT-011,2025-11-13T11:20:15Z,CHECK_DEPOSIT,C456789,CHK-456789,Checking,TXN-011,416666.00,INR,Check Deposit,Deposit,Bangalore,KA,India,MobileApp,DEV-1002,PENDING
EVT-012,2025-11-13T14:45:30Z,PURCHASE,C678901,CC-678901,CreditCard,TXN-012,270833.00,INR,Luxury Hotel,Travel,Goa,GA,India,PointOfSale,POS-2005,APPROVED
EVT-013,2025-11-13T10:05:42Z,ATM_WITHDRAWAL,C890123,CHK-890123,Checking,TXN-013,8333.00,INR,Bank ATM,ATM,Pune,MH,India,ATM,ATM-4002,APPROVED
EVT-014,2025-11-13T15:18:55Z,PURCHASE,C901234,CC-901234,CreditCard,TXN-014,7499.00,INR,Amazon,Online,Mumbai,MH,India,OnlineBanking,DEV-1005,APPROVED
EVT-015,2025-11-13T09:12:33Z,BALANCE_INQUIRY,C012345,CHK-012345,Checking,INQ-001,0.00,INR,,,,Pune,MH,India,ATM,ATM-4003,APPROVED
EVT-016,2025-11-13T16:50:28Z,PURCHASE,C112233,CC-112233,CreditCard,TXN-016,208333.00,INR,Car Repair Shop,Automotive,Mumbai,MH,India,PointOfSale,POS-2006,APPROVED
EVT-017,2025-11-13T11:38:17Z,TRANSFER,C223344,SAV-223344,Savings,TXN-017,4166666.00,INR,Investment Transfer,Transfer,Bangalore,KA,India,OnlineBanking,DEV-1006,APPROVED
EVT-018,2025-11-13T13:25:44Z,LOAN_PAYMENT,C334455,LOAN-334455,Loan,TXN-018,104166.00,INR,Auto Loan Payment,Payment,Mumbai,MH,India,OnlineBanking,DEV-1007,APPROVED
EVT-019,2025-11-13T14:02:19Z,PURCHASE,C445566,CC-445566,CreditCard,TXN-019,3791.00,INR,Petrol Pump,Gas,Mumbai,MH,India,PointOfSale,POS-2007,APPROVED
EVT-020,2025-11-13T10:55:36Z,CHECK_DEPOSIT,C556677,CHK-556677,Checking,TXN-020,266666.00,INR,Payroll Check,Deposit,Mumbai,MH,India,MobileApp,DEV-1008,APPROVED
EVT-021,2025-11-13T15:42:09Z,PURCHASE,C667788,CC-667788,CreditCard,TXN-021,156250.00,INR,Jewelry Store,Jewelry,Bangalore,KA,India,PointOfSale,POS-2008,APPROVED
EVT-022,2025-11-13T09:28:51Z,ATM_WITHDRAWAL,C778899,CHK-778899,Checking,TXN-022,25000.00,INR,Bank ATM,ATM,Mumbai,MH,India,ATM,ATM-4004,APPROVED
EVT-023,2025-11-13T12:33:25Z,PURCHASE,C889900,CC-889900,CreditCard,TXN-023,10416.00,INR,Restaurant,Dining,Pune,MH,India,PointOfSale,POS-2009,APPROVED
EVT-024,2025-11-13T16:15:42Z,TRANSFER,C990011,CHK-990011,Checking,TXN-024,125000.00,INR,Rent Payment,Transfer,Mumbai,MH,India,OnlineBanking,DEV-1009,APPROVED
EVT-025,2025-11-13T11:48:17Z,PURCHASE,C001122,CC-001122,CreditCard,TXN-025,45833.00,INR,Electronics Store,Electronics,Pune,MH,India,PointOfSale,POS-2010,APPROVED
